Speech,Loop
,0
,0
,0
,0
,0
,0
,0
"Given a list of integers, return a list of the integers, omitting any that are less than 0.",0
"Given a list of non-negative integers, return a list of those numbers except omitting any that end with 9. (Note:  % by 10)",0
"Given a list of integers, return a list of those numbers, omitting any that are between 13 and 19 inclusive.",0
"Given a list of strings, return a list of the strings, omitting any string that contains a ""z"". (Note: the str.contains(x) method returns a boolean)",0
"Given a list of strings, return a list of the strings, omitting any string length 4 or more.",0
"Given a list of strings, return a list of the strings, omitting any string length 3 or 4.",0
"Given a list of strings, return a list where each string has ""y"" added at its end, omitting any resulting strings that contain ""yy"" as a substring anywhere.",0
"Given a list of non-negative integers, return a list of those numbers multiplied by 2, omitting any of the resulting numbers that end in 2.",0
"Given a list of integers, return a list of those numbers squared and the product added to 10, omitting any of the resulting numbers that end in 5 or 6.",0
